id;programa;codigo_programa;codigo_instituicao
1;CIÊNCIAS DA REABILITAÇÃO;53014014001P7;53014014
2;CIÊNCIAS DA REABILITAÇÃO;53014014002P3;53014014
3;CIÊNCIAS DA REABILITAÇÃO;53014014003P0;53014014
4;PROFNIT - PROPRIEDADE INTELECTUAL E TRANSFERÊNCIA DE TECNOLOGIA PARA INOVAÇÃO;31102000001P6;31102000
5;TECNOLOGIA AMBIENTAL;25017012001P7;25017012
6;MATEMÁTICA;31008011001P9;31008011
7;Matemática em Rede Nacional;31075010001P2;31008011
8;MÉTODOS MATEMÁTICOS EM FINANÇAS;31008011002P5;31008011
9;Uso Sustentável de Recursos Naturais em Regiões Tropicais;15024016001P1;15024016
10;INSTRUMENTAÇÃO, CONTROLE E AUTOMAÇÃO DE PROCESSOS DE MINERAÇÃO;32007019051P2;31130003
11;ADMINISTRAÇÃO PÚBLICA EM REDE NACIONAL;53045009001P3;53045009
12;Análise do Comportamento Aplicada;33278016001P1;33278016
13;RELAÇÕES INTERNACIONAIS PARA A AMÉRICA DO SUL;31065015001P0;31065015
14;ASTROFÍSICA, COSMOLOGIA E GRAVITAÇÃO;30001013105P1;31009018
15;FÍSICA;31009018001P5;31009018
16;FÍSICA;31009018003P8;31009018
17;CIÊNCIA E TECNOLOGIA DAS RADIAÇÕES, MINERAIS E MATERIAIS;32069014001P9;32069014
18;LETRAS;32032013001P9;32032013
19;LETRAS;32032013002P5;32032013
20;DESIGN;25019015002P6;25019015
21;ENGENHARIA DE SOFTWARE;25019015001P0;25019015
22;ANÁLISE DE SISTEMAS AMBIENTAIS;26006014002P8;26006014
23;Biotecnologia em Saúde Humana e Animal;22003010028P7;26006014
24;DIREITO;26006014003P4;26006014
25;PESQUISA EM SAÚDE;26006014001P1;26006014
26;Poder Legislativo;53037014001P0;53037014
27;Biodiversidade e Biotecnologia - Rede BIONORTE;12001015038P1;11007001
28;SAÚDE ANIMAL;43043003001P2;43043003
29;ODONTOLOGIA;33119015001P0;33119015
30;ODONTOLOGIA;33119015002P6;33119015
31;Gestão e Desenvolvimento da Educação Profissional;33126011003P5;33126011
32;Gestão e Tecnologia em Sistemas Produtivos;33126011002P9;33126011
33;TECNOLOGIA: GESTÃO DESENVOLVIMENTO E FORMAÇÃO;33126011001P2;33126011
34;CIÊNCIA DA COMPUTAÇÃO;31022014009P5;31022014
35;CIÊNCIA TECNOLOGIA E EDUCAÇÃO;31022014005P0;31022014
36;DESENVOLVIMENTO REGIONAL E SISTEMAS PRODUTIVOS;31022014010P3;31022014
37;Engenharia de Produção e Sistemas;31022014001P4;31022014
38;Engenharia Elétrica;31022014004P3;31022014
39;ENGENHARIA MECÂNICA E TECNOLOGIA DE MATERIAIS;31022014003P7;31022014
40;ENSINO DE CIÊNCIAS E MATEMÁTICA;31022014002P0;31022014
41;FILOSOFIA E ENSINO;31022014008P9;31022014
42;Instrumentação e Óptica Aplicada;31022014007P2;31022014
43;Relações Étnico-Raciais;31022014006P6;31022014
44;ADMINISTRAÇÃO;32020015008P9;32020015
45;EDUCAÇÃO PROFISSIONAL E TECNOLÓGICA;30004012074P8;32020015
46;EDUCAÇÃO TECNOLÓGICA;32020015003P7;32020015
47;ENGENHARIA CIVIL;32020015004P3;32020015
48;ENGENHARIA DA ENERGIA - CEFET-MG - UFSJ;32020015005P0;32020015
49;ENGENHARIA DE MATERIAIS;32020015007P2;32020015
50;ENGENHARIA DE MINAS;32020015011P0;32020015
51;ENGENHARIA ELÉTRICA - UFSJ - CEFET-MG;32018010007P1;32020015
52;ENGENHARIA MECÂNICA;32020015010P3;32020015
53;ESTUDOS DE LINGUAGENS;32020015006P6;32020015
54;Matemática em Rede Nacional;31075010001P2;32020015
55;MODELAGEM MATEMÁTICA E COMPUTACIONAL;32020015002P0;32020015
56;Multicêntrico em Química de Minas Gerais;32005016039P0;32020015
57;TECNOLOGIA;32020015001P4;32020015
58;TECNOLOGIA DE PRODUTOS E PROCESSOS;32020015009P5;32020015
59;DESASTRES NATURAIS;33004145083P2;35141000
60;EDUCAÇÃO;33125015002P2;33125015
61;Promoção da Saúde;33125015001P6;33125015
62;Administração;52016013002P3;52016013
63;DESENVOLVIMENTO REGIONAL;52016013001P7;52016013
64;DIREITO;52016013003P0;52016013
65;TEOLOGIA;33121010001P4;33121010
66;Ciências da Reabilitação;31063012002P4;31063012
67;DESENVOLVIMENTO LOCAL;31063012001P8;31063012
68;DIREITO;40036014001P7;40036014
69;ARQUITETURA;33248010001P0;33248010
70;ADMINISTRAÇÃO DAS MICRO E PEQUENAS EMPRESAS;33149011001P5;33149011
71;ADMINISTRAÇÃO DAS MICRO E PEQUENAS EMPRESAS;33149011003P8;33149011
72;Ciência da Computação;33149011002P1;33149011
73;TEORIA LITERÁRIA;40035018001P0;40035018
74;NOVAS TECNOLOGIAS DIGITAIS NA EDUCAÇÃO;31092012001P7;31092012
75; CIÊNCIAS ODONTOLÓGICAS;23009004004P6;23009004
76;DIREITO;23009004003P0;23009004
77;ENSINO EM SAÚDE;23009004002P3;23009004
78;ENSINO NA SAÚDE E TECNOLOGIAS EDUCACIONAIS;23009004005P2;23009004
79;TECNOLOGIA MINIMAMENTE INVASIVA E SIMULAÇÃO NA ÁREA DE SAÚDE;23009004001P7;23009004
80;DIREITO;40029018001P4;40029018
81;ADMINISTRAÇÃO;33027013004P0;33027013
82;ENGENHARIA ELÉTRICA;33027013001P1;33027013
83;ENGENHARIA ELÉTRICA;33027013002P8;33027013
84;ENGENHARIA MECÂNICA;33027013003P4;33027013
85;ENGENHARIA QUÍMICA;33027013005P7;33027013
86;Ciências Biomédicas;33114013002P4;33114013
87;ODONTOLOGIA;33114013001P8;33114013
88;Educação, Ambiente e Sociedade;33153019001P9;33153019
89;ADMINISTRAÇÃO;33142017004P0;33142017
90;DIREITO DA SOCIEDADE DA INFORMAÇÃO;33142017001P0;33142017
91;ENGENHARIA DE SANEAMENTO AMBIENTAL;33142017005P6;33142017
92;Governança Corporativa;33142017003P3;33142017
93;Saúde Ambiental;33142017002P7;33142017
94;SAÚDE E BEM ESTAR ANIMAL;33142017007P9;33142017
95;CIÊNCIAS FARMACÊUTICAS;52006018003P8;52006018
96;ODONTOLOGIA;52006018002P1;52006018
97;SOCIEDADE, TECNOLOGIA E MEIO AMBIENTE;52006018001P5;52006018
98;SISTEMA CONSTITUCIONAL DE GARANTIA DE DIREITOS;33105014001P2;33105014
99;TECNOLOGIA DE ALIMENTOS;32078013001P4;32078013
100;ARQUITETURA E URBANISMO;53005015003P4;53005015
101;DIREITO;53005015001P1;53005015
102;Psicologia;53005015002P8;53005015
103;MEIO AMBIENTE E SUSTENTABILIDADE;32077017001P8;32077017
104;ADMINISTRAÇÃO;33099014001P7;33099014
105;DESENVOLVIMENTO REGIONAL;33099014002P3;33099014
106;DIREITO;24003018001P7;24003018
107;CIÊNCIA, TECNOLOGIA E SEGURANÇA ALIMENTAR;40030016005P4;40030016
108;CIÊNCIAS JURÍDICAS;40030016001P9;40030016
109;Gestão do Conhecimento nas Organizações;40030016003P1;40030016
110;PROMOÇÃO DA SAÚDE;40030016002P5;40030016
111;Tecnologias Limpas;40030016004P8;40030016
112;ARQUITETURA E URBANISMO;50014013001P9;50014013
113;ENSINO EM CIÊNCIAS DA SAÚDE E DO MEIO AMBIENTE;31067018001P3;31067018
114;MATERIAIS;31067018002P0;31067018
115;DIREITO;53032012001P8;53032012
116;CLÍNICA ODONTOLÓGICA;15013014003P6;15013014
117;Direito, Políticas Públicas e Desenvolvimento Regional;15013014001P3;15013014
118;ENSINO EM SAÚDE;15013014002P0;15013014
119;DIREITOS SOCIAIS E PROCESSOS REIVINDICATÓRIOS;53023013002P9;53023013
120;GESTÃO ESTRATÉGICA DE ORGANIZAÇÕES;53023013001P2;53023013
121;ENGENHARIA DE PROCESSOS QUÍMICOS E BIOQUÍMICOS;33069018001P1;33069018
122;ENGENHARIA;32071035001P0;32071035
123;ADMINISTRAÇÃO;32071019001P0;32071019
124;GESTÃO E DESENVOLVIMENTO REGIONAL;32115016001P1;32115016
125;EDUCAÇÃO SUPERIOR;32028016002P1;32028016
126;FISIOTERAPIA;32028016001P5;32028016
127;FISIOTERAPIA;32028016003P8;32028016
128;INOVAÇÃO E DESENVOLVIMENTO;26013002001P9;26013002
129;ENSINO EM SAÚDE;22016015001P2;22016015
130;BIOMEDICINA TRANSLACIONAL;31035019005P0;31088015
131;CIÊNCIA E TECNOLOGIA AMBIENTAL;31088015002P0;31088015
132;Ciência e Tecnologia de Materiais;31088015001P3;31088015
133;CIÊNCIA DA COMPUTAÇÃO;33111014002P5;33111014
134;DIREITO;33111014001P9;33111014
135;ADMINISTRAÇÃO;53017013002P2;53017013
136;DIREITOS HUMANOS, CIDADANIA E VIOLÊNCIA;53017013001P6;53017013
137;PRÁTICAS TRANSCULLTURAIS;41025016001P1;41025016
138;GESTÃO EMPRESARIAL;25018019001P3;25018019
139;ADMINISTRAÇÃO;33096015003P0;33096015
140;ADMINISTRAÇÃO DE EMPRESAS;33096015002P4;33096015
141;CIÊNCIAS CONTÁBEIS;33096015001P8;33096015
142;DIREITO;29010004001P8;29010004
143;DIREITO;33079013001P3;33079013
144;PSICOLOGIA EDUCACIONAL;33079013002P0;33079013
145;ODONTOLOGIA;40038017001P0;40038017
146;Biotecnologia;22021019001P2;22021019
147;DIREITO;40051013002P5;40051013
148;Educação e Novas Tecnologias;40051013001P9;40051013
149;CLÍNICA MÉDICA;33077010001P0;33077010
150;Biociências e Reabilitação;42042011002P5;42042011
151;REABILITAÇÃO E INCLUSÃO;42042011001P9;42042011
152;EDUCAÇÃO;33053014002P8;33053014
153;Desenvolvimento e Controle de Produtos Biofarmacêuticos;32116012001P8;32116012
154;ENSINO DE CIÊNCIAS DA SAÚDE E DO AMBIENTE;31059015001P4;31059015
155;Arquitetura e Urbanismo;42043018004P4;42043018
156;Design;42043018002P1;42043018
157;Direito;42043018003P8;42043018
158;LETRAS;42043018001P5;42043018
159;ADMINISTRAÇÃO;33131015002P9;33131015
160;BIODIREITO, ÉTICA E CIDADANIA;33131015003P5;33131015
161;Direito;33131015005P8;33131015
162;EDUCAÇÃO;33131015001P2;33131015
163;ENSINO DE CIÊNCIAS;33131015004P1;33131015
164;ADMINISTRAÇÃO;33028010001P1;33028010
165;BIOÉTICA;33028010002P8;33028010
166;ENFERMAGEM NO PROCESSO DE CUIDAR EM SAUDE;33028010004P0;33028010
167;NUTRIÇÃO DO NASCIMENTO À ADOLESCÊNCIA;33028010005P7;33028010
168;CIÊNCIAS DA SAÚDE;33112010001P5;33112010
169;DESIGN;33127018003P1;33127018
170;GESTÃO INTEGRADA EM SAÚDE DO TRABALHO E MEIO AMBIENTE;33127018001P9;33127018
171;MODA, CULTURA E ARTE;33127018002P5;33127018
172;DESENVOLVIMENTO SUSTENTÁVEL;28023013066P6;28023013
173;DIFUSÃO DO CONHECIMENTO IFBA - SENAI/CIMATEC - LNCC - UNEB - UEFS;28001010064P0;28023013
174;GESTÃO E TECNOLOGIA INDUSTRIAL - GETEC;28023013001P1;28023013
175;GESTÃO E TECNOLOGIA INDUSTRIAL - GETEC;28023013065P0;28023013
176;MODELAGEM COMPUTACIONAL E TECNOLOGIA INDUSTRIAL;28023013002P8;28023013
177;ENGENHARIA DE PRODUÇÃO;41017013002P9;41017013
178;ENGENHARIA MECÂNICA;41017013001P2;41017013
179;DESIGN, TECNOLOGIA E INOVAÇÃO;33245010001P7;33245010
180;SOCIEDADE, TECNOLOGIAS E POLÍTICAS PÚBLICAS;27011003001P9;27011003
181;SOCIEDADE, TECNOLOGIAS E POLÍTICAS PÚBLICAS;27011003002P5;27011003
182;DIREITO;33137013001P0;33137013
183;ADMINISTRAÇÃO;32037015003P3;32037015
184;GESTÃO SOCIAL, EDUCAÇÃO E DESENVOLVIMENTO LOCAL;32037015002P7;32037015
185;TURISMO E MEIO AMBIENTE;32037015001P0;32037015
186;ADMINISTRAÇÃO;32076010001P1;32076010
187;DIREITO;22012010001P0;22012010
188;DESIGN DE ARTEFATOS DIGITAIS;13012002001P6;13012002
189;MÚSICA;31016014001P8;31016014
190;CIÊNCIAS;33115010001P8;33115010
191;SAÚDE COLETIVA;33115028001P0;33115028
192;Biodiversidade e Biotecnologia - Rede BIONORTE;12001015038P1;13011006
193;Agroecologia;13003011002P2;31052029
194;Biodiversidade e Biotecnologia - Rede BIONORTE;12001015038P1;31052029
195;Biodiversidade e Biotecnologia - Rede BIONORTE;12001015038P1;12015008
196;Sanidade e Produção Animal Sustentável na Amazônia Ocidental;11001011008P2;12015008
197;CIÊNCIAS AGRÁRIAS;24004014012P5;25058002
198;Biodiversidade e Biotecnologia - Rede BIONORTE;12001015038P1;15028003
199;ECOLOGIA;15001016087P0;15028003
